SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;SafeMath;library;197;60;125;13;20;6;6;29;39;0;0;0;0;0;8;1.5384615384615385;0.46153846153846156;0.46153846153846156;2.230769230769231;3.0;0.6153846153846154
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;LibRouter;library;35;21;6;1;1;0;0;0;2;0;0;0;0;1;0;1.0;0.0;0.0;0.0;2.0;0.0
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;ERC20;contract;274;85;160;17;17;0;0;28;41;1;2;2;0;6;19;1.0;0.0;0.0;1.6470588235294117;2.411764705882353;1.1176470588235294
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;Ownable;contract;51;25;20;3;3;0;0;1;11;1;1;1;0;1;2;1.0;0.0;0.0;0.3333333333333333;3.6666666666666665;0.6666666666666666
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;IRouter;interface;61;50;5;11;11;0;0;42;0;0;0;1;1;0;0;1.0;0.0;0.0;3.8181818181818183;0.0;0.0
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;ECDSA;library;76;26;43;3;4;1;1;7;13;0;0;0;0;0;5;1.3333333333333333;0.3333333333333333;0.3333333333333333;2.3333333333333335;4.333333333333333;1.6666666666666667
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;LibFeeCalculator;library;72;41;16;4;4;0;0;2;16;0;0;0;1;1;11;1.0;0.0;0.0;0.5;4.0;2.75
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;RouterFacet;contract;383;230;123;17;19;2;2;73;85;1;1;0;5;0;65;1.1176470588235294;0.11764705882352941;0.11764705882352941;4.294117647058823;5.0;3.823529411764706
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;SafeERC20;library;58;30;22;6;7;1;1;18;11;0;0;0;1;0;13;1.1666666666666667;0.16666666666666666;0.16666666666666666;3.0;1.8333333333333333;2.1666666666666665
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;EnumerableSet;library;269;94;140;20;22;2;2;36;35;0;0;0;0;0;19;1.1;0.1;0.1;1.8;1.75;0.95
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;LibFeeExternal;library;35;25;2;2;3;1;1;0;8;0;0;0;3;1;5;1.5;0.5;0.5;0.0;4.0;2.5
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;Pausable;contract;75;27;40;3;3;0;0;0;10;1;1;1;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;IERC20;interface;70;10;53;6;6;0;0;10;0;0;0;3;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;Address;library;50;9;38;2;2;0;0;2;3;0;0;0;0;7;0;1.0;0.0;0.0;1.0;1.5;0.0
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;WrappedToken;contract;59;35;17;5;5;0;0;7;9;3;7;0;0;0;9;1.0;0.0;0.0;1.4;1.8;1.8
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;Counters;library;23;15;5;3;3;0;0;3;3;0;0;0;0;0;1;1.0;0.0;0.0;1.0;1.0;0.3333333333333333
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;LibGovernance;library;83;66;8;7;11;4;3;8;25;0;0;0;2;1;15;1.5714285714285714;0.5714285714285714;0.42857142857142855;1.1428571428571428;3.5714285714285716;2.142857142857143
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;IERC2612Permit;interface;42;12;29;2;2;0;0;8;0;0;0;2;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;ERC20Permit;contract;171;97;47;6;9;2;2;12;32;2;4;1;1;2;15;1.5;0.3333333333333333;0.3333333333333333;2.0;5.333333333333333;2.5
0468531e2b17f03639dc5dac5eb9c534e576565c.sol;data;Context;contract;10;9;1;2;2;0;0;0;3;0;0;5;0;0;0;1.0;0.0;0.0;0.0;1.5;0.0
