SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;Multicall;contract;30;22;3;1;3;2;2;1;7;1;1;0;0;0;3;3.0;2.0;2.0;1.0;7.0;3.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;ABDKMath64x64;library;737;477;211;27;142;15;15;39;441;0;0;0;0;2;63;5.2592592592592595;0.5555555555555556;0.5555555555555556;1.4444444444444444;16.333333333333332;2.3333333333333335
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;SafeERC20;library;103;87;8;6;7;1;1;18;15;0;0;0;1;0;12;1.1666666666666667;0.16666666666666666;0.16666666666666666;3.0;2.5;2.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;ERC1155EnumerableInternal;contract;50;40;4;1;8;5;4;6;20;2;2;3;2;0;8;8.0;5.0;4.0;6.0;20.0;8.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;ABDKMath64x64Token;library;49;23;22;4;4;0;0;6;4;0;0;0;0;0;4;1.0;0.0;0.0;1.5;1.0;1.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;ERC1155BaseInternal;contract;485;324;120;15;20;5;5;67;84;1;1;5;0;0;39;1.3333333333333333;0.3333333333333333;0.3333333333333333;4.466666666666667;5.6;2.6
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IERC173;interface;18;8;8;2;2;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;OwnableStorage;library;19;16;0;2;2;0;0;2;3;0;0;0;0;1;0;1.0;0.0;0.0;1.0;1.5;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IERC20Metadata;interface;19;5;12;3;3;0;0;0;0;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;AddressUtils;library;27;22;0;3;4;1;1;3;12;0;0;0;0;4;4;1.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;4.0;1.3333333333333333
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;AggregatorInterface;interface;52;46;0;5;5;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;0.4;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;PremiaMiningStorage;library;48;26;23;1;1;0;0;0;2;0;0;0;0;1;0;1.0;0.0;0.0;0.0;2.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IPoolExercise;interface;20;8;11;2;2;0;0;5;0;0;0;1;0;0;0;1.0;0.0;0.0;2.5;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;ERC165Storage;library;32;28;0;3;3;0;0;5;5;0;0;0;0;1;1;1.0;0.0;0.0;1.6666666666666667;1.6666666666666667;0.3333333333333333
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IPoolEvents;interface;57;48;0;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IERC1155;interface;73;29;39;6;6;0;0;18;0;1;2;2;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IERC1155Internal;interface;23;21;0;0;0;0;0;0;0;0;0;7;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;PoolInternal;contract;1110;869;95;27;72;23;23;84;283;3;4;1;2;13;116;2.6666666666666665;0.8518518518518519;0.8518518518518519;3.111111111111111;10.481481481481481;4.296296296296297
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IMulticall;interface;10;5;5;1;1;0;0;1;0;0;0;1;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IPremiaMining;interface;48;38;0;11;11;0;0;25;0;0;0;0;1;0;0;1.0;0.0;0.0;2.272727272727273;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;ERC1155Enumerable;contract;99;72;16;5;7;2;2;10;13;3;7;0;1;0;12;1.4;0.4;0.4;2.0;2.6;2.4
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;VolatilitySurfaceOracleStorage;library;122;94;7;4;5;1;1;6;11;0;0;0;1;5;4;1.25;0.25;0.25;1.5;2.75;1.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IFeeDiscount;interface;95;36;51;8;8;0;0;13;0;0;0;0;0;0;0;1.0;0.0;0.0;1.625;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;OptionMath;library;242;176;58;6;10;3;2;14;30;0;0;0;0;5;40;1.6666666666666667;0.5;0.3333333333333333;2.3333333333333335;5.0;6.666666666666667
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;PoolExercise;contract;49;40;6;2;3;1;1;5;4;4;6;0;0;0;3;1.5;0.5;0.5;2.5;2.0;1.5
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IERC1155Receiver;interface;35;16;18;2;2;0;0;10;0;1;1;0;0;0;0;1.0;0.0;0.0;5.0;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IPremiaFeeDiscount;interface;11;9;3;2;2;0;0;2;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;PoolStorage;library;484;367;74;21;29;7;7;51;80;0;0;0;2;3;26;1.380952380952381;0.3333333333333333;0.3333333333333333;2.4285714285714284;3.8095238095238093;1.2380952380952381
09Fde18700C82a8F3134A5C01DC58f6cB2396A40.sol;data;IERC1155Enumerable;interface;35;12;20;4;4;0;0;4;0;0;0;1;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
