SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibDiamondStorageDerivaDEX;library;17;15;0;1;1;0;0;0;2;0;0;0;1;1;0;1.0;0.0;0.0;0.0;2.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;SafeMath96;library;53;19;30;3;3;0;0;7;7;0;0;0;0;0;3;1.0;0.0;0.0;2.3333333333333335;2.3333333333333335;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IComptroller;contract;139;105;9;18;18;0;0;64;0;0;0;0;0;5;0;1.0;0.0;0.0;3.5555555555555554;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;PauserRole;contract;44;33;0;6;6;0;0;5;11;2;2;3;1;1;6;1.0;0.0;0.0;0.8333333333333334;1.8333333333333333;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibDiamondCut;library;145;120;18;6;20;10;9;14;66;0;0;0;2;0;26;3.3333333333333335;1.6666666666666667;1.5;2.3333333333333335;11.0;4.333333333333333
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;DIFundTokenFactory;contract;32;23;4;3;3;0;0;3;7;0;0;0;1;2;4;1.0;0.0;0.0;1.0;2.3333333333333335;1.3333333333333333
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;DerivaDEX;contract;73;40;21;0;0;0;0;0;28;0;0;0;6;2;0;0.0;0.0;0.0;0.0;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;HDUMToken;contract;56;50;0;5;5;0;0;11;14;5;11;0;0;4;7;1.0;0.0;0.0;2.2;2.8;1.4
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibEIP712;library;83;34;42;2;2;0;0;6;5;0;0;0;0;1;0;1.0;0.0;0.0;3.0;2.5;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;Address;library;50;9;38;2;2;0;0;2;3;0;0;0;0;7;0;1.0;0.0;0.0;1.0;1.5;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IAToken;interface;7;5;0;3;3;0;0;3;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;Pause;contract;45;22;15;3;3;0;0;1;9;0;0;0;2;0;2;1.0;0.0;0.0;0.3333333333333333;3.0;0.6666666666666666
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IDDX;interface;19;13;0;7;7;0;0;12;0;0;0;0;0;0;0;1.0;0.0;0.0;1.7142857142857142;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;ERC20;contract;274;86;159;17;17;0;0;28;41;1;2;5;0;6;19;1.0;0.0;0.0;1.6470588235294117;2.411764705882353;1.1176470588235294
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;DDX;contract;646;330;217;26;50;16;15;53;173;0;0;0;0;16;84;1.9230769230769231;0.6153846153846154;0.5769230769230769;2.0384615384615383;6.653846153846154;3.230769230769231
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibClone;library;26;24;0;2;2;0;0;3;4;0;0;0;0;0;2;1.0;0.0;0.0;1.5;2.0;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IERC20;interface;70;10;53;6;6;0;0;10;0;0;0;6;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;CoinFactoryAdminRole;contract;44;33;0;6;6;0;0;5;11;2;2;2;1;1;6;1.0;0.0;0.0;0.8333333333333334;1.8333333333333333;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibBytes;library;425;207;172;18;21;2;2;39;60;0;0;0;0;0;21;1.1666666666666667;0.1111111111111111;0.1111111111111111;2.1666666666666665;3.3333333333333335;1.1666666666666667
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;OwnershipFacet;contract;28;15;10;2;2;0;0;0;6;0;0;0;1;0;4;1.0;0.0;0.0;0.0;3.0;2.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibPermit;library;61;32;25;2;2;0;0;3;5;0;0;0;0;1;1;1.0;0.0;0.0;1.5;2.5;0.5
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;Roles;library;20;17;0;3;3;0;0;6;6;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.0;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;SafeERC20Wrapper;contract;41;32;0;7;7;0;0;14;8;1;1;0;1;1;7;1.0;0.0;0.0;2.0;1.1428571428571428;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;Pausable;contract;35;27;0;3;3;0;0;0;10;3;3;2;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;DDXWalletCloneable;contract;28;13;12;1;1;0;0;3;4;0;0;0;1;1;3;1.0;0.0;0.0;3.0;4.0;3.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibDiamondCut;library;145;120;18;6;20;10;9;14;66;0;0;0;2;0;26;3.3333333333333335;1.6666666666666667;1.5;2.3333333333333335;11.0;4.333333333333333
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibVoteCast;library;57;30;21;2;2;0;0;3;5;0;0;0;0;1;1;1.0;0.0;0.0;1.5;2.5;0.5
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;CoinFactory;contract;11;10;0;2;2;0;0;4;4;3;5;1;0;0;2;1.0;0.0;0.0;2.0;2.0;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IInsuranceFund;interface;3;3;0;1;1;0;0;1;0;0;0;0;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;SafeMath128;library;154;50;92;8;9;1;1;19;19;0;0;0;0;0;8;1.125;0.125;0.125;2.375;2.375;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;Ownable;contract;51;25;20;3;3;0;0;1;11;1;1;10;0;1;2;1.0;0.0;0.0;0.3333333333333333;3.6666666666666665;0.6666666666666666
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IDiamondCut;interface;23;14;6;1;1;0;0;3;0;0;0;1;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IDiamondLoupe;interface;28;10;13;4;4;0;0;2;0;0;0;1;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IDIFundTokenFactory;interface;15;11;0;5;5;0;0;4;0;0;0;0;1;0;0;1.0;0.0;0.0;0.8;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;ICToken;interface;53;36;0;18;18;0;0;17;0;0;0;0;0;0;0;1.0;0.0;0.0;0.9444444444444444;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;DummyToken;contract;31;26;0;4;4;0;0;10;5;2;3;0;0;1;4;1.0;0.0;0.0;2.5;1.25;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;SafeMath32;library;53;19;30;3;3;0;0;7;7;0;0;0;0;0;3;1.0;0.0;0.0;2.3333333333333335;2.3333333333333335;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibDiamondStorage;library;34;23;9;1;1;0;0;0;2;0;0;0;0;1;0;1.0;0.0;0.0;0.0;2.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;ERC20Pausable;contract;37;33;0;5;5;0;0;11;5;4;6;1;0;0;5;1.0;0.0;0.0;2.2;1.0;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;MathHelpers;library;45;33;6;6;6;0;0;14;9;0;0;0;0;0;8;1.0;0.0;0.0;2.3333333333333335;1.5;1.3333333333333333
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibDelegation;library;59;31;23;2;2;0;0;3;5;0;0;0;0;1;1;1.0;0.0;0.0;1.5;2.5;0.5
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;SafeERC20;library;58;30;22;6;7;1;1;18;11;0;0;0;1;0;13;1.1666666666666667;0.16666666666666666;0.16666666666666666;3.0;1.8333333333333333;2.1666666666666665
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;GovernanceDefs;library;27;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibDiamondStorageGovernance;library;57;27;28;1;1;0;0;0;2;0;0;0;1;1;0;1.0;0.0;0.0;0.0;2.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;Blacklist;contract;33;26;0;5;7;2;2;5;9;3;5;1;0;1;2;1.4;0.4;0.4;1.0;1.8;0.4
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IERC165;interface;9;3;6;1;1;0;0;1;0;0;0;1;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;Context;contract;10;9;1;2;2;0;0;0;3;0;0;12;0;0;0;1.0;0.0;0.0;0.0;1.5;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;LibDiamondStoragePause;library;14;12;0;1;1;0;0;0;2;0;0;0;0;1;0;1.0;0.0;0.0;0.0;2.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IDIFundToken;interface;25;16;0;10;10;0;0;16;0;0;0;0;0;0;0;1.0;0.0;0.0;1.6;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;DIFundToken;contract;649;344;205;26;57;20;18;46;186;0;0;0;0;13;82;2.1923076923076925;0.7692307692307693;0.6923076923076923;1.7692307692307692;7.153846153846154;3.1538461538461537
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;Math;library;24;11;11;3;3;0;0;6;3;0;0;0;0;0;0;1.0;0.0;0.0;2.0;1.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;IDDXWalletCloneable;interface;7;7;0;1;1;0;0;3;0;0;0;0;1;0;0;1.0;0.0;0.0;3.0;0.0;0.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;ERC20;contract;98;77;0;12;12;0;0;24;33;2;3;5;0;3;16;1.0;0.0;0.0;2.0;2.75;1.3333333333333333
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;BlacklistAdminRole;contract;43;33;0;6;6;0;0;5;11;2;2;2;1;1;6;1.0;0.0;0.0;0.8333333333333334;1.8333333333333333;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;SafeMath;library;142;38;92;8;9;1;1;19;19;0;0;0;0;0;8;1.125;0.125;0.125;2.375;2.375;1.0
0c8813521196614c85c2fb121fb22f52dc94111a.sol;data;DiamondFacet;contract;85;52;28;6;8;2;2;6;22;1;3;0;2;0;10;1.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;3.6666666666666665;1.6666666666666667
