SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;IDiamondCuttable;interface;27;18;6;1;1;0;0;3;0;0;0;3;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;IERC173;interface;18;8;8;2;2;0;0;1;0;0;0;4;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;SafeOwnableStorage;library;19;16;0;2;2;0;0;2;3;0;0;0;0;1;0;1.0;0.0;0.0;1.0;1.5;0.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;DiamondCuttable;contract;17;10;6;1;1;0;0;3;1;1;2;2;1;0;2;1.0;0.0;0.0;3.0;1.0;2.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;DiamondBase;contract;25;18;4;1;2;1;1;0;8;1;1;2;1;0;2;2.0;1.0;1.0;0.0;8.0;2.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;OwnableInternal;contract;11;10;0;0;0;0;0;0;2;0;0;5;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;AddressUtils;library;27;22;0;3;4;1;1;3;12;0;0;0;0;4;4;1.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;4.0;1.3333333333333333
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;DiamondBaseStorage;library;304;234;23;6;24;11;9;16;93;0;0;0;2;3;20;4.0;1.8333333333333333;1.5;2.6666666666666665;15.5;3.3333333333333335
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;SafeOwnableInternal;contract;11;10;0;0;0;0;0;0;2;0;0;3;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;ERC165Storage;library;32;28;0;3;3;0;0;5;5;0;0;0;0;1;1;1.0;0.0;0.0;1.6666666666666667;1.6666666666666667;0.3333333333333333
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;DiamondLoupe;contract;195;142;19;4;21;11;11;2;71;1;1;2;1;0;16;5.25;2.75;2.75;0.5;17.75;4.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;Premia;contract;3;2;0;0;0;0;0;0;0;4;14;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;Proxy;contract;32;23;5;0;0;0;0;0;0;0;0;3;0;16;0;0.0;0.0;0.0;0.0;0.0;0.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;IERC165;interface;8;3;5;1;1;0;0;1;0;0;0;3;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;OwnableStorage;library;19;16;0;2;2;0;0;2;3;0;0;0;0;1;0;1.0;0.0;0.0;1.0;1.5;0.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;Ownable;contract;23;15;6;2;2;0;0;1;3;1;2;3;1;0;3;1.0;0.0;0.0;0.5;1.5;1.5
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;SafeOwnable;contract;31;21;7;3;3;0;0;1;6;2;4;2;2;0;7;1.0;0.0;0.0;0.3333333333333333;2.0;2.3333333333333335
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;ERC165;contract;15;11;3;1;1;0;0;1;1;1;1;2;1;0;2;1.0;0.0;0.0;1.0;1.0;2.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;IDiamondLoupe;interface;41;19;18;4;4;0;0;2;0;0;0;3;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
48d49466cb2efbf05faa5fa5e69f2984edc8d1d7.sol;data;Diamond;contract;68;39;7;0;0;0;0;0;38;3;13;1;3;1;0;0.0;0.0;0.0;0.0;0.0;0.0
