SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;Context;contract;9;8;0;2;2;0;0;0;2;0;0;5;0;0;0;1.0;0.0;0.0;0.0;1.0;0.0
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;ECDSA;library;209;106;93;9;19;8;3;22;45;0;0;0;0;0;15;2.111111111111111;0.8888888888888888;0.3333333333333333;2.4444444444444446;5.0;1.6666666666666667
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;ERC20Permit;contract;171;97;47;6;9;2;2;12;32;3;5;1;1;2;15;1.5;0.3333333333333333;0.3333333333333333;2.0;5.333333333333333;2.5
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;ERC20;contract;322;119;167;17;17;0;0;30;58;2;3;2;0;5;20;1.0;0.0;0.0;1.7647058823529411;3.411764705882353;1.1764705882352942
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;SafeMath;library;212;80;120;13;19;5;5;29;46;0;0;0;0;0;3;1.4615384615384615;0.38461538461538464;0.38461538461538464;2.230769230769231;3.5384615384615383;0.23076923076923078
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;IERC20;interface;74;14;53;6;6;0;0;10;0;0;0;4;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;Pausable;contract;75;27;40;3;3;0;0;0;10;1;1;1;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;LibRouter;library;35;21;6;1;1;0;0;0;2;0;0;0;0;1;0;1.0;0.0;0.0;0.0;2.0;0.0
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;EnumerableSet;library;328;117;170;24;27;3;3;40;45;0;0;0;0;0;21;1.125;0.125;0.125;1.6666666666666667;1.875;0.875
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;UtilityFacet;contract;123;72;37;7;7;0;0;16;21;1;2;0;3;0;22;1.0;0.0;0.0;2.2857142857142856;3.0;3.142857142857143
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;IUtility;interface;14;11;0;4;4;0;0;10;0;0;0;1;0;0;0;1.0;0.0;0.0;2.5;0.0;0.0
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;WrappedToken;contract;66;39;17;6;6;0;0;7;10;4;8;0;0;1;9;1.0;0.0;0.0;1.1666666666666667;1.6666666666666667;1.5
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;Counters;library;30;23;4;4;4;0;0;4;10;0;0;0;0;0;1;1.0;0.0;0.0;1.0;2.5;0.25
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;IERC20Metadata;interface;16;5;9;3;3;0;0;0;0;1;1;3;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;Ownable;contract;53;26;20;4;4;0;0;2;10;1;1;1;0;1;3;1.0;0.0;0.0;0.5;2.5;0.75
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;LibGovernance;library;83;66;8;7;11;4;3;8;25;0;0;0;2;1;15;1.5714285714285714;0.5714285714285714;0.42857142857142855;1.1428571428571428;3.5714285714285716;2.142857142857143
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;Governable;contract;21;17;1;0;0;0;0;0;11;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
4a0c2d99d2b8028f0d8facde9ac0e631614f4293.sol;data;IERC2612Permit;interface;42;12;29;2;2;0;0;8;0;0;0;2;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
