SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;Pausable;contract;75;27;40;3;3;0;0;0;10;1;1;1;0;1;0;1.0;0.0;0.0;0.0;3.3333333333333335;0.0
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;ERC20;contract;274;85;160;17;17;0;0;28;41;1;2;2;0;6;19;1.0;0.0;0.0;1.6470588235294117;2.411764705882353;1.1176470588235294
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;LibRouter;library;35;21;6;1;1;0;0;0;2;0;0;0;0;1;0;1.0;0.0;0.0;0.0;2.0;0.0
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;Address;library;50;9;38;2;2;0;0;2;3;0;0;0;0;7;0;1.0;0.0;0.0;1.0;1.5;0.0
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;ECDSA;library;76;26;43;3;4;1;1;7;13;0;0;0;0;0;5;1.3333333333333333;0.3333333333333333;0.3333333333333333;2.3333333333333335;4.333333333333333;1.6666666666666667
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;SafeMath;library;197;60;125;13;20;6;6;29;39;0;0;0;0;0;8;1.5384615384615385;0.46153846153846156;0.46153846153846156;2.230769230769231;3.0;0.6153846153846154
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;EnumerableSet;library;269;94;140;20;22;2;2;36;35;0;0;0;0;0;19;1.1;0.1;0.1;1.8;1.75;0.95
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;Context;contract;10;9;1;2;2;0;0;0;3;0;0;5;0;0;0;1.0;0.0;0.0;0.0;1.5;0.0
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;LibFeeCalculator;library;72;41;16;4;4;0;0;2;16;0;0;0;1;1;11;1.0;0.0;0.0;0.5;4.0;2.75
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;WrappedToken;contract;59;35;17;5;5;0;0;7;9;3;7;0;0;0;9;1.0;0.0;0.0;1.4;1.8;1.8
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;ERC20Permit;contract;171;97;47;6;9;2;2;12;32;2;4;1;1;2;15;1.5;0.3333333333333333;0.3333333333333333;2.0;5.333333333333333;2.5
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;Counters;library;23;15;5;3;3;0;0;3;3;0;0;0;0;0;1;1.0;0.0;0.0;1.0;1.0;0.3333333333333333
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;Ownable;contract;51;25;20;3;3;0;0;1;11;1;1;1;0;1;2;1.0;0.0;0.0;0.3333333333333333;3.6666666666666665;0.6666666666666666
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;IERC2612Permit;interface;42;12;29;2;2;0;0;8;0;0;0;2;0;0;0;1.0;0.0;0.0;4.0;0.0;0.0
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;LibGovernance;library;83;66;8;7;11;4;3;8;25;0;0;0;2;1;15;1.5714285714285714;0.5714285714285714;0.42857142857142855;1.1428571428571428;3.5714285714285716;2.142857142857143
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;IRouter;interface;61;50;5;11;11;0;0;42;0;0;0;1;1;0;0;1.0;0.0;0.0;3.8181818181818183;0.0;0.0
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;SafeERC20;library;58;30;22;6;7;1;1;18;11;0;0;0;1;0;13;1.1666666666666667;0.16666666666666666;0.16666666666666666;3.0;1.8333333333333333;2.1666666666666665
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;IERC20;interface;70;10;53;6;6;0;0;10;0;0;0;3;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
7828a0ebf09b068c6b6ada0f739bd1b961205157.sol;data;RouterFacet;contract;337;204;105;15;17;2;2;61;71;1;1;0;5;0;52;1.1333333333333333;0.13333333333333333;0.13333333333333333;4.066666666666666;4.733333333333333;3.466666666666667
