SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;SafeOwnableStorage;library;21;18;0;2;2;0;0;2;3;0;0;0;0;1;0;1.0;0.0;0.0;1.0;1.5;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;OwnableStorage;library;21;18;0;2;2;0;0;2;3;0;0;0;0;1;0;1.0;0.0;0.0;1.0;1.5;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;DiamondBase;contract;23;16;4;1;2;1;1;0;8;1;1;2;1;0;2;2.0;1.0;1.0;0.0;8.0;2.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;IDiamondLoupe;interface;36;14;18;4;4;0;0;2;0;0;0;3;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;DiamondCuttable;contract;17;10;6;1;1;0;0;3;1;1;2;2;1;0;2;1.0;0.0;0.0;3.0;1.0;2.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;OwnableInternal;contract;11;10;0;0;0;0;0;0;2;0;0;5;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;Ownable;contract;20;12;6;2;2;0;0;1;3;1;2;3;1;0;3;1.0;0.0;0.0;0.5;1.5;1.5
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;ERC165;contract;10;6;3;1;1;0;0;1;1;1;1;2;1;0;2;1.0;0.0;0.0;1.0;1.0;2.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;IERC173;interface;15;5;8;2;2;0;0;1;0;0;0;4;0;0;0;1.0;0.0;0.0;0.5;0.0;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;ERC165Storage;library;31;26;1;3;3;0;0;5;5;0;0;0;0;1;1;1.0;0.0;0.0;1.6666666666666667;1.6666666666666667;0.3333333333333333
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;IDiamondCuttable;interface;23;14;6;1;1;0;0;3;0;0;0;3;0;0;0;1.0;0.0;0.0;3.0;0.0;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;DiamondBaseStorage;library;288;217;23;6;24;11;9;16;93;0;0;0;2;3;20;4.0;1.8333333333333333;1.5;2.6666666666666665;15.5;3.3333333333333335
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;Proxy;contract;23;14;5;0;0;0;0;0;0;0;0;3;0;16;0;0.0;0.0;0.0;0.0;0.0;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;MagicProxy;contract;7;7;0;0;0;0;0;0;3;4;14;0;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;AddressUtils;library;25;20;0;3;4;1;1;3;12;0;0;0;0;4;4;1.3333333333333333;0.3333333333333333;0.3333333333333333;1.0;4.0;1.3333333333333333
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;IERC165;interface;10;5;5;1;1;0;0;1;0;0;0;3;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;DiamondLoupe;contract;157;104;19;4;21;11;11;2;71;1;1;2;1;0;16;5.25;2.75;2.75;0.5;17.75;4.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;SafeOwnable;contract;28;18;7;3;3;0;0;1;6;2;4;2;2;0;7;1.0;0.0;0.0;0.3333333333333333;2.0;2.3333333333333335
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;ERC20MetadataStorage;library;37;32;0;4;4;0;0;6;5;0;0;0;0;1;0;1.0;0.0;0.0;1.5;1.25;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;Diamond;contract;62;33;7;0;0;0;0;0;38;3;13;1;3;1;0;0.0;0.0;0.0;0.0;0.0;0.0
b0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a.sol;data;SafeOwnableInternal;contract;11;10;0;0;0;0;0;0;2;0;0;3;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0
